"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",8,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",2,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",10,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",13,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",16,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",19,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",22,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",30,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,40"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",33,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",36,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,40"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",39,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,70"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",42,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",12,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,60"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",29,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,80"
