"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Stege Bugt","Stege Bugt","2015-03-19",15,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Stege Bugt","Stege Bugt","2015-03-19",32,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,10"
"Stege Bugt","Stege Bugt","2015-03-19",21,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Stege Bugt","Stege Bugt","2015-03-19",4,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,10"
"Stege Bugt","Stege Bugt","2015-03-19",7,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Stege Bugt","Stege Bugt","2015-03-19",19,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",30,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,00"
"Stege Bugt","Stege Bugt","2015-03-19",36,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,00"
"Stege Bugt","Stege Bugt","2015-03-19",13,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Stege Bugt","Stege Bugt","2015-03-19",3,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,20"
"Stege Bugt","Stege Bugt","2015-03-19",27,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",33,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Stege Bugt","Stege Bugt","2015-03-19",10,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","1,00"
"Stege Bugt","Stege Bugt","2015-03-19",16,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Stege Bugt","Stege Bugt","2015-03-19",39,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","1,90"
